Actors,Awards,BoxOffice,Country,DVD,Director,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons,Ratings.Internet Movie Database,Ratings.Rotten Tomatoes,Ratings.Metacritic
,,,USA,,Alan Rudolph,,Drama,English,,,,,,[],10-Oct-16,TRUE,,Ray Meets Helen,movie,,,2016,tt5813010,,,,-1,-1,-1
"Goldie Hawn, Kurt Russell, Edward Herrmann, Katherine Helmond",3 nominations.,,USA,19-Sep-00,Garry Marshall,,"Comedy, Romance","English, French, Portuguese",53,"Rich bitch Joanna hires country carpenter Dean to build a closet on her yacht. When the two don't see eye-to-eye, Dean is left unpaid while Joanna sets sail. The following day, Joanna is fished out of the sea, after falling overboard, suffering from amnesia. Dean sees a neat way to regain the money she owes him... he tells her she's his wife; that way Dean gets a free housekeeper and mother for his four kids.",https://m.media-amazon.com/images/M/MV5BMjIzMjMxOTgzM15BMl5BanBnXkFtZTcwMTAwODM2NA@@._V1_SX300.jpg,MGM,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",16-Dec-87,TRUE,106 min,Overboard,movie,,Leslie Dixon,1987,tt0093693,6.8,"45,009",,0.68,0.44,0.53
"Charlize Theron, Mackenzie Davis, Ron Livingston, Asher Miles Fallica",1 nomination.,,USA,31-Jul-18,Jason Reitman,,"Comedy, Drama",English,75,"The film is about Marlo, a mother of three including a newborn, who is gifted a night nanny by her brother. Hesitant to the extravagance at first, Marlo comes to form a unique bond with the thoughtful, surprising and sometimes challenging young nanny named Tully.",https://m.media-amazon.com/images/M/MV5BMTU0OTM4NTMyMF5BMl5BanBnXkFtZTgwNDA5MzUwNTM@._V1_SX300.jpg,Focus Features,R,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",4-May-18,TRUE,95 min,Tully,movie,http://www.tullyfilm.com/,Diablo Cody,2018,tt5610554,7,"25,043",,0.7,0.87,0.75
"Adriana Barraza, Alejandro de Icaza",3 wins & 4 nominations.,,Mexico,,Natalia Almada,,Drama,Spanish,,For 35 years Doña Flor has worked as a clerk in a government office. Each day she attends dozens of people who sit across from her and hand her their documents. For 35 years she has been ...,https://images-na.ssl-images-amazon.com/images/M/MV5BZjNkNjI1YWItOWRmYy00MzM5LWJkZGItYjBlNzM5NDAzMzAzXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,,,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",14-Oct-16,TRUE,98 min,Everything Else,movie,,Natalia Almada,2016,tt4997822,6.1,41,,0.61,-1,-1
"Matthias Schoenaerts, Adèle Exarchopoulos, Eric De Staercke, Jean-Benoît Ugeux",,,"Belgium, France, Netherlands",,Michaël R. Roskam,,"Crime, Drama","French, Dutch",50,"Set against the background of a brutal crime gang in Brussels, a tragic love story between Gigi, a high-flying gangster, and Bibi, a young racing driver with very upper-class roots.",https://m.media-amazon.com/images/M/MV5BMTk2MjQ0MjcyNV5BMl5BanBnXkFtZTgwMjcwMDQxNTM@._V1_SX300.jpg,,R,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Metacritic', 'Value': '50/100'}]",4-May-18,TRUE,130 min,Racer and the Jailbird,movie,,"Thomas Bidegain, Noé Debré, Michaël R. Roskam",2017,tt2586120,6.4,"2,375",,0.64,-1,0.5
,1 nomination.,,"Spain, USA",,Tristan Cook,,Documentary,"English, Spanish, German",,"Perhaps Europe's most popular pilgrimage, the Camino de Santiago attracts wayfarers of all stripes to walk its ancient paths in search of meaning. One such pilgrim is Dane Johansen, an American cellist who in 2014 ventured to walk the Camino with his instrument on his back, performing music for his fellow pilgrims along the way. As Dane soon discovers, the paths we travel through life are often uncomfortably magnified by the reality of life on the Camino. Accompanied by the vast landscapes of Northern Spain, the haunting music of J.S. Bach for solo cello (performed by Johansen), and the very personal struggles and joys of the many pilgrims encountered along the way, Strangers on the Earth examines the physical, mental and spiritual aspects of the concept of 'journey' and the vital role it can play as part of the human experience.",https://images-na.ssl-images-amazon.com/images/M/MV5BNGVjYTI5YTctYTI2YS00Yjc4LTg3NWYtMTJhYWEzYmU5NTk4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzE3NzIyMw@@._V1_SX300.jpg,First Run Features,,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",4-Apr-17,TRUE,96 min,Strangers on the Earth,movie,http://firstrunfeatures.com/strangersontheearth.html,,2016,tt5741038,7.8,12,,0.78,0.83,-1
"Thomas Gullestad, Jonathan Rhys Meyers, Marie Blokhus, Mads Sjøgård Pettersen",,,Norway,,Harald Zwart,,"Drama, History, Thriller","English, Norwegian, German, Saami",76,They were 12 saboteurs. The Nazis killed 11 of them. This is the true story of the one who got away...,https://m.media-amazon.com/images/M/MV5BYzI1MzA0NjUtNWI2MC00NDg0LThiYmItN2RjZWRmN2E0MmVmXkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_SX300.jpg,,,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Metacritic', 'Value': '76/100'}]",4-May-18,TRUE,135 min,The 12th Man,movie,,Petter Skavlan,2017,tt3300980,7.4,"6,040",,0.74,-1,0.76
"Bill Clinton, Sharron Frontiero, James Steven Ginsburg, Jane C. Ginsburg",1 nomination.,,USA,28-Aug-18,"Julie Cohen, Betsy West",,"Documentary, Biography",English,72,"The exceptional life and career of U.S. Supreme Court Justice Ruth Bader Ginsburg, who has developed a breathtaking legal legacy while becoming an unexpected pop culture icon.",https://m.media-amazon.com/images/M/MV5BNTE4Nzc0NDU3Nl5BMl5BanBnXkFtZTgwODIzMTQzNTM@._V1_SX300.jpg,Magnolia Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",14-Sep-18,TRUE,98 min,RBG,movie,http://www.rbgmovie.com/,,2018,tt7689964,7.5,"2,922",,0.75,0.94,0.72
"Cinda Adams, Mari Devon, Kirk Thornton, John Allsopp",,,"Belgium, France, USA",1-May-18,"Jeremy Degruson, Ben Stassen",,"Animation, Comedy, Family",English,,"Teenage outsider Adam sets out on an epic and daring quest to uncover the mystery behind his long-lost dad, only to find out that he is none other than the legendary Bigfoot! He has been hiding deep in the forest for years to protect himself and his family from HairCo., a giant corporation eager to run scientific experiments with his special DNA. As father and son start making up for lost time after the boy's initial disbelief, Adam soon discovers that he too is gifted with superpowers beyond his imagination. But little do they know, HairCo. is on their tail as Adam's traces have led them to Bigfoot!",https://m.media-amazon.com/images/M/MV5BNWE4ZGU0ZjItZjgwMi00YzEyLTkzMWMtZDkwMjRhNDU5MzBjL2ltYWdlXkEyXkFqcGdeQXVyNjQzMzk3MTY@._V1_SX300.jpg,DIRECTV and Viva Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]",1-May-18,TRUE,92 min,The Son of Bigfoot,movie,,"Bob Barlen (based on the original screenplay 'Son of Bigfoot' written by), Cal Brunker (based on the original screenplay 'Son of Bigfoot' written by)",2017,tt5715410,6.1,"3,447",,0.61,0.75,-1
"Paulina García, Claudio Rissi",7 nominations.,,"Argentina, Chile",,"Cecilia Atán, Valeria Pivato",,Drama,Spanish,,"It tells the story of Teresa, a 54-year-old woman who works as a domestic employee in a family home in Buenos Aires. For decades he has taken refuge in the routine of his tasks, but now ...",https://images-na.ssl-images-amazon.com/images/M/MV5BNTMwMDliN2UtNjFjMC00YmZlLWIzY2UtYWI4ODNhNjE4ZDhhXkEyXkFqcGdeQXVyMjQ0NzgwNzY@._V1_SX300.jpg,,,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",21-Sep-17,TRUE,78 min,The Desert Bride,movie,,"Cecilia Atán, Valeria Pivato, Martín Salinas (collaborator)",2017,tt6147512,6.7,107,,0.67,-1,-1
"Johnny Galecki, Anna Friel, Kyle Gallner, Anjelica Huston",6 wins & 1 nomination.,,"Canada, USA",4-May-18,Bobby Miller,,"Comedy, Drama, Fantasy",English,58,"A heartbroken man attends a spiritual retreat to cleanse himself and fix his broken life. There he meets a fellow lost soul, and together they discover that ""the cleanse"" releases more than everyday toxins...a lot more.",https://m.media-amazon.com/images/M/MV5BMjMyNjk4OTk3Nl5BMl5BanBnXkFtZTgwODUyNzEyNTM@._V1_SX300.jpg,Bron Studios,R,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",4-May-18,TRUE,81 min,The Cleanse,movie,http://thecleansefilm.com/,Bobby Miller (screenplay),2016,tt3734354,5.3,739,,0.53,0.85,0.58
"Anton Pampushnyy, Sanjar Madi, Sebastien Sisak, Alina Lanina",1 nomination.,,Russia,,Sarik Andreasyan,,"Action, Sci-Fi",Russian,,"During the Cold War, an organization called ""Patriot"" created a super-hero squad, which includes members of multiple Soviet republics. For years, the heroes had to hide their identities, but in hard times they must show themselves again.",https://m.media-amazon.com/images/M/MV5BYzgxY2NkZGYtOGI4NC00MTc4LTlkY2QtNmRjOTU1NDI0NGQ1XkEyXkFqcGdeQXVyNTc4MjczMTM@._V1_SX300.jpg,,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}]",23-Feb-17,TRUE,89 min,The Guardians,movie,,"Andrey Gavrilov (screenplay), Sarik Andreasyan (story), Gevond Andreasyan (story)",2017,tt4600952,4,"8,690",,0.4,-1,-1
"David Tennant, Robert Sheehan, Kerry Condon, Carlito Olivero",,,USA,14-Aug-18,Dean Devlin,,"Crime, Thriller",English,42,A pair of burglars stumble upon a woman being held captive in a home they intended to rob.,https://m.media-amazon.com/images/M/MV5BNTk3NWI3NTktMjBkYi00OGJlLWE1MmItNjlkZTExMTZmZDdhXkEyXkFqcGdeQXVyMjU4ODU0MzU@._V1_SX300.jpg,Electric Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",4-May-18,TRUE,110 min,Bad Samaritan,movie,,Brandon Boyce,2018,tt3203528,6.4,"8,044",,0.64,0.53,0.42
"Angdu Padma, Rigzin Urgain",4 wins & 2 nominations.,,South Korea,,"Moon Chang-Yong, Jeon Jin",,Documentary,"Hindi, Ladakhi, Tibetan",70,"After a Buddhist boy in the highlands of northern India discovers that he is the reincarnation of a centuries-old Tibetan monk, his godfather takes him on a journey to discover his past.",https://m.media-amazon.com/images/M/MV5BZTM1MDRjZjUtZTcxYi00NmQ2LTllN2QtMzlkNWNjNTA1MmI1XkEyXkFqcGdeQXVyMjY1NzU3OTY@._V1_SX300.jpg,Cargo Film & Releasing,,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",24-May-17,TRUE,95 min,Becoming Who I Was,movie,,,2017,tt6864496,8.3,94,,0.83,1,0.7
"Argus, Cleetus Friedman, Al Luna, Paulette McDaniels",,,USA,,Pin Pin Tan,,"Short, Drama",English,,,,,,[],1-Mar-01,TRUE,11 min,Rogers Park,movie,,,2001,tt2206742,,,,-1,-1,-1
"Noée Abita, Laure Calamy, Juan Cano, Tamara Cano",6 wins & 9 nominations.,,France,,Léa Mysius,,"Drama, Romance","French, Spanish",,"Ava, 13, is spending the summer on the Atlantic coast when she learns that she will lose her sight sooner than expected. Her mother decides to act as if everything were normal so as to spend their best summer ever. Ava confronts the problem in her own way. She steals a big black dog that belongs to a young man on the run...",https://m.media-amazon.com/images/M/MV5BM2UyNzlkMjUtM2E1ZS00MTljLWJkMmEtODYzNGM1NmY5ODNiXkEyXkFqcGdeQXVyNjUyMzIyODA@._V1_SX300.jpg,,,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",22-Dec-17,TRUE,105 min,Ava,movie,,"Léa Mysius (scenario), Paul Guilhaume (collaboration)",2017,tt6194530,6.8,"1,260",,0.68,-1,-1
"Alia Shawkat, Laia Costa, Mae Whitman, Hong Chau",,,USA,1-May-18,Miguel Arteta,,"Comedy, Drama, Romance",English,58,"Two women, who are dissatisfied with the dishonesty they see in dating and relationships, decide to make a pact to spend 24 hours together hoping to find a new way to create intimacy.",https://m.media-amazon.com/images/M/MV5BMTU4MTMxMTM4NV5BMl5BanBnXkFtZTgwNjAzNjAxNTM@._V1_SX300.jpg,The Orchard,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",27-Apr-18,TRUE,93 min,Duck Butter,movie,,"Miguel Arteta, Alia Shawkat",2018,tt6958014,5.3,"1,095",,0.53,0.55,0.58
"Esther Dolezal, Izaiah Dolezal, Rachel Dolezal",1 nomination.,,USA,27-Apr-18,Laura Brownson,,Documentary,English,59,Rachel Dolezal becomes a social phenomenon when she passes herself off as an African American and becomes the head of her local N.A.A.C.P. chapter.,https://m.media-amazon.com/images/M/MV5BYmMzZGRhMjctYTA4My00YWQ3LWJlZjUtZjZmZjU2NjI3NWMzXkEyXkFqcGdeQXVyNjc5NTc1MTg@._V1_SX300.jpg,Netflix,TV-MA,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",27-Apr-18,TRUE,100 min,The Rachel Divide,movie,,"Laura Brownson, Jeff Seymann Gilbert",2018,tt8106570,6.3,"1,124",,0.63,0.71,0.59
"Ryan Kwanten, Maggie Grace, Mike Epps, Clancy Brown",,,USA,27-Apr-18,Zak Knutson,,"Action, Comedy",English,9,"A rag-tag group of former TV stars and comic book artists, who make their living working at conventions, decide to steal the loot from a crooked promoter and an overbearing former TV icon.",https://m.media-amazon.com/images/M/MV5BNzI1ZDg3ZDktMmVkNC00ZjUzLWE1NWEtN2RkNTkzNTBhZjg1XkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_SX300.jpg,Archstone Distribution,R,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '9/100'}]",27-Apr-18,TRUE,100 min,Supercon,movie,,"Zak Knutson, Andy Sipes, Dana Snyder",2018,tt4454078,3.7,467,,0.37,0.17,0.09
"Asa Butterfield, Alex Wolff, Nick Offerman, Ellen Burstyn",1 win & 1 nomination.,,USA,,Peter Livolsi,,"Comedy, Drama",English,58,"The film tells futurist, architect, and inventor R. Buckminster Fuller's incredible story through two teens hoping to get laid, become punk gods, and survive high school.",https://m.media-amazon.com/images/M/MV5BMTY4MTkxNTMzMF5BMl5BanBnXkFtZTgwMTI0OTg5NDM@._V1_SX300.jpg,SHOUT! STUDIOS,,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",8-Apr-17,TRUE,85 min,The House of Tomorrow,movie,http://www.thehouseoftomorrowfilm.com/,"Peter Bognanni (novel), Peter Livolsi (screenplay)",2017,tt5910344,6.1,554,,0.61,0.76,0.58
"Isabelle Huppert, Romain Duris, José Garcia, Adda Senani",1 win & 1 nomination.,,"France, Belgium",19-Jun-18,Serge Bozon,,Drama,French,60,"Mrs. Géquil is a teacher despised by her colleagues and students. On a stormy night, she is struck by lightning and faints. When she wakes up, she feels different. Will she be able to keep the powerful and dangerous Mrs. Hyde contained?",https://m.media-amazon.com/images/M/MV5BOGRhMjY2M2YtZjkwNy00Zjk3LTgxNzAtZGZlMTk1YzI2Y2JjXkEyXkFqcGdeQXVyNzQ0MTcyMjU@._V1_SX300.jpg,The Orchard,,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",27-Apr-18,TRUE,95 min,Madame Hyde,movie,,Serge Bozon (screenplay),2017,tt5338644,5.5,493,,0.55,0.48,0.6
"Ron Perlman, Martin Starr, Jake McDorman, George Sample III",,,USA,27-Apr-18,Zach Golden,,"Action, Adventure, Comedy",English,31,"Two inept, small-town Sheriff's Deputies catch an escaped prisoner that they believe was wrongly convicted.",https://m.media-amazon.com/images/M/MV5BNzA5Njg2ODQ2NF5BMl5BanBnXkFtZTgwNjAzNzEyNTM@._V1_SX300.jpg,Saban Films,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",27-Apr-18,TRUE,97 min,The Escape of Prisoner 614,movie,,Zach Golden,2018,tt7375578,4.5,496,,0.45,0.2,0.31
"Jeremy Saville, Kelly Sullivan, Stephen Frejek, Danso Gordon",,,USA,24-Jul-12,Jeremy Saville,,Comedy,English,,"A guy puts his unwitting bride-to-be through a series of increasingly bizarre ""stress tests"" to see if she's worthy of marriage.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwNTgzMjM5M15BMl5BanBnXkFtZTcwNDUzMTE1OA@@._V1_SX300.jpg,Virgil Films,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",,TRUE,89 min,The Test,movie,,Jeremy Saville,2012,tt1986180,6.9,"1,004",,0.69,-1,-1
"Khalid Abdalla, Laila Samy, Hanan Youssef, Mariam Saleh Saad",3 wins & 4 nominations.,,"Egypt, Germany, UK, United Arab Emirates",,Tamer El Said,,Drama,Arabic,,"Downtown Cairo, 2009. Khalid, a 35 year old filmmaker is struggling to make a film that captures the soul of his city while facing loss in his own life. With the help of his friends, who send him footage from their lives in Beirut, Baghdad and Berlin, he finds the strength to keep going through the difficulty and beauty of living IN THE LAST DAYS OF THE CITY.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyNTQ4NTE4NV5BMl5BanBnXkFtZTgwNDk1MjEwODE@._V1_SX300.jpg,,,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",24-Mar-17,TRUE,118 min,In the Last Days of the City,movie,,"Tamer El Said, Rasha Salti",2016,tt5424898,6.9,152,,0.69,-1,-1
"Ian Hart, Josh Whitehouse, Tom Riley, Tallulah Haddon",,,UK,,"Daniel Jerome Gill, Daniel Jerome Gill",,"Comedy, Music, Romance",English,27,"Brought together by their shared love of music, ten years on Liam and Natalie are at breaking point. In their case opposites attract but don't necessarily work long-term. Making the difficult decision to separate, they must split their prized music library. But the sound track that defined their relationship keeps pulling them back together.",https://m.media-amazon.com/images/M/MV5BM2FjZDFiNzctMDE1My00ODA2LTk5MzAtODg3N2I3ZDIzMDA1XkEyXkFqcGdeQXVyMjE0NjQ0Mw@@._V1_SX300.jpg,,,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Metacritic', 'Value': '27/100'}]",27-Apr-18,TRUE,105 min,Modern Life Is Rubbish,movie,,"Philip Gawthorne, Philip Gawthorne",2017,tt2385752,5.9,303,,0.59,-1,0.27
"Ian McShane, Christopher Egan, Susanna Thompson, Allison Miller",1 nomination.,,USA,,,,"Drama, Sci-Fi",English,,"King Silas Benjamin came to power in a mythical battle against the rival neighbor republic of Gath, capitalizing brilliantly and ruthlessly on his near-godly image. Farm-boy David Shepherd performs as well, saving Silas's crown prince in another epic battle, but is too noble and naive to aspire personal benefit rather then devoutly serve king and country. Nevertheless, after Silas decides to abuse David's legend, the hero is drawn into palace intrigues culminating into coup plans against Silas.",https://m.media-amazon.com/images/M/MV5BOTcwNDQ4MDA1OF5BMl5BanBnXkFtZTcwMjYwOTQ3Mw@@._V1_SX300.jpg,,,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",15-Mar-09,TRUE,60 min,Kings,series,,Michael Green,2009,tt1137462,8.2,"7,704",1,0.82,-1,-1
"Aomi Muyock, Karl Glusman, Klara Kristin, Ugo Fox",2 wins & 1 nomination.,"$176,061 ","France, Belgium",15-Mar-16,Gaspar Noé,,"Drama, Romance","English, French",51,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.",https://m.media-amazon.com/images/M/MV5BMTQzNDUwODk5NF5BMl5BanBnXkFtZTgwNzA0MDQ2NTE@._V1_SX300.jpg,Alchemy,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",30-Oct-15,TRUE,135 min,Love,movie,,Gaspar Noé,2015,tt3774694,6,"31,526",,0.6,0.38,0.51
"Anton Lesser, Alessandro Nivola, Allan Corduner, Nicholas Woodeson",1 nomination.,,"UK, Ireland, USA",17-Jul-18,Sebastián Lelio,,"Drama, Romance",English,74,"A woman returns to her Orthodox Jewish community that shunned her for her attraction to a female childhood friend. Once back, their passions reignite as they explore the boundaries of faith and sexuality.",https://m.media-amazon.com/images/M/MV5BMzYxNDI5OTcwMV5BMl5BanBnXkFtZTgwODc4MzE3NDM@._V1_SX300.jpg,,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",27-Apr-18,TRUE,114 min,Disobedience,movie,,"Sebastián Lelio, Rebecca Lenkiewicz, Naomi Alderman (based on the novel by)",2017,tt6108178,6.6,"10,765",,0.66,0.85,0.74
"Juliette Binoche, Xavier Beauvois, Philippe Katerine, Josiane Balasko",1 win & 1 nomination.,,"France, Belgium",,Claire Denis,,"Comedy, Drama, Romance",French,79,"Isabelle, Parisian artist, divorced mother, is looking for love, true love at last.",https://m.media-amazon.com/images/M/MV5BZjQ5N2IyY2QtMDE3OS00ZGQxLTg3NmQtOGQzNmQwOTZiYWMzXkEyXkFqcGdeQXVyNTIyODMzMzA@._V1_SX300.jpg,,,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Metacritic', 'Value': '79/100'}]",27-Sep-17,TRUE,94 min,Let the Sunshine In,movie,,"Christine Angot (screenplay), Claire Denis (screenplay), Roland Barthes (original book)",2017,tt6423776,6,"2,912",,0.6,-1,0.79
"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",,"$664,987,816 ",USA,14-Aug-18,"Anthony Russo, Joe Russo",,"Action, Adventure, Drama",English,68,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_SX300.jpg,Walt Disney Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",27-Apr-18,TRUE,149 min,Avengers: Infinity War,movie,http://marvel.com/movies/movie/223/avengers_infinity_war,"Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Joe Simon (Captain America created by), Jack Kirby (Captain America created by), Steve Englehart (Star-Lord created by), Steve Gan (Star-Lord created by), Bill Mantlo (Rocket Raccoon created by), Keith Giffen (Rocket Raccoon created by), Jim Starlin (Thanos,  Gamora and Drax created by), Stan Lee (Groot created by), Larry Lieber (Groot created by), Jack Kirby (Groot created by), Steve Englehart (Mantis created by), Don Heck (Mantis created by)",2018,tt4154756,8.6,"482,760",,0.86,0.84,0.68
"Seann William Scott, Clifton Collins Jr., Steve Lemme, Erik Stolhanske",,,USA,24-Jul-12,Jay Chandrasekhar,,"Comedy, Crime, Mystery",English,41,"When a border dispute arises between the U.S. and Canada, the Super Troopers are tasked with establishing a Highway Patrol station in the disputed area.",https://m.media-amazon.com/images/M/MV5BZmFhMjM2NmQtYWM3Yi00YmJhLWIxOTgtYWY3ZjNlYzMwOWJmXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,SK Planet,R,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",20-Apr-18,TRUE,99 min,Super Troopers 2,movie,,"Jay Chandrasekhar, Kevin Heffernan, Steve Lemme, Paul Soter, Erik Stolhanske",2018,tt0859635,6.2,"14,661",,0.62,0.21,0.41
"Amy Schumer, Michelle Williams, Tom Hopper, Rory Scovel",,,"China, USA",17-Jul-18,"Abby Kohn, Marc Silverstein",,Comedy,English,47,"Renee Bennett (Schumer) knows what it's like to be average in a world of the genetically blessed. After falling off an exercise bike and banging her head, she believes a spell has suddenly made her gorgeous. Except to everyone else, she looks exactly the same. Renee's new confidence suddenly sees her climbing the ranks at the cosmetics company she works for, getting the respect of her idol and boss, Avery LeClaire (Williams). Ultimately Renee realizes 'the spell' has lifted, but through the process learns true beauty is not skin deep.",https://m.media-amazon.com/images/M/MV5BMGI3ZDRjZTQtMTMyYy00NGI4LWI2MjktNzMyMjg0NjQ2NTY0XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,STXfilms,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",20-Apr-18,TRUE,110 min,I Feel Pretty,movie,https://www.ifeelpretty.movie/,"Abby Kohn, Marc Silverstein",2018,tt6791096,5.3,"27,099",,0.53,0.33,0.47
"Ed Harris, Jason Sudeikis, Elizabeth Olsen, Bruce Greenwood",,,"Canada, USA",20-Apr-18,Mark Raso,,Drama,English,57,"Set during the final days of the admired photo development system known as Kodachrome, a father and son hit the road in order to reach the Kansas photo lab before it closes its doors for good.",https://m.media-amazon.com/images/M/MV5BMjIxMTk3MzY2MV5BMl5BanBnXkFtZTgwNjQ5NzQxNTM@._V1_SX300.jpg,Netflix,TV-MA,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",20-Apr-18,TRUE,105 min,Kodachrome,movie,,Jonathan Tropper,2017,tt1880399,6.8,"5,438",,0.68,0.7,0.57
"Andy Nyman, Martin Freeman, Paul Whitehouse, Alex Lawther",,,UK,4-Sep-18,"Jeremy Dyson, Andy Nyman",,"Drama, Horror",English,68,Skeptical professor Phillip Goodman embarks on a trip to the terrifying after finding a file with details of three unexplained cases of apparitions.,https://m.media-amazon.com/images/M/MV5BMTA4OWQ0NGYtNDgxNC00MzI4LTgzNzktYzAxMDcyMGI3OTFmXkEyXkFqcGdeQXVyNTIyODMzMzA@._V1_SX300.jpg,IFC Midnight,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",20-Apr-18,TRUE,98 min,Ghost Stories,movie,,"Jeremy Dyson, Andy Nyman",2017,tt5516328,6.4,"14,351",,0.64,0.82,0.68
